acceso;usuario;tipo_poliza;numero_poliza;asistencia;asis_urgente;asis_danyos_ubicados;asis_origen_danyos_reparado;asis_danyos_a_consecuencia;asis_ref_externa;grupo_causa;grupo_causa_cod;tipo_causa;tipo_causa_cod;otros_implicados;encargo;numero_siniestro;anyo_siniestro;tipo_causa_mac;tipo_causa_mac_cod;fecha_ocurrencia;tipo_declarante;medio_declaracion;fecha_registro;fecha_denuncia;dec_observaciones;dec_nombre;dec_prim_apellido;dec_seg_apellido;dec_prefijo;dec_telefono;dec_email;dec_email_no_disp;asis_urgente;asis_danyos_ubicados;asis_origen_danyos_reparado;asis_danyos_a_consecuen;asis_ref_externa;cont_rol;cont_nombre;cont_prim_apellido;cont_seg_apellido;cont_tipo_doc;cont_n_documento;cont_pref_tel_1;cont_telefono_1;cont_pref_tel_2;cont_telefono_2;cont_sexo;cont_email;cont_email_no_disp;cont_vive_en_riesgo;cont_dir_tipo_via;cont_dir_calle;cont_dir_numero;cont_dir_piso;cont_dir_puerta;cont_dir_CP;cont_dir_poblacion;cont_dir_provincia;ocu_lugar;ocu_dir_tipo_via;ocu_dir_calle;ocu_dir_numero;ocu_dir_portal;ocu_dir_escalera;ocu_dir_piso;ocu_dir_puerta;ocu_dir_CP;ocu_dir_poblacion;ocu_dir_provincia;gremio_causa;gremio_causa_cod;modif_reserva_inicial;descripcion_siniestro;asegurado;aseg_nombre;aseg_prim_apellido;aseg_seg_apellido;aseg_tipo_documento;aseg_n_documento;aseg_telefono_uno;aseg_telefono_dos;aseg_sexo;aseg_email;aseg_dir_tipo_via;aseg_dir_calle;aseg_dir_numero;aseg_dir_piso;aseg_dir_puerta;aseg_dir_CP;aseg_dir_poblacion;aseg_dir_provincia;aseg_cod_IBAN;aseg_cod_banco;aseg_cod_sucursal;aseg_cod_DC;aseg_cod_cuenta;otro_implicado;otro_rol;otro_nombre;otro_prim_apellido;otro_seg_apellido;otro_tipo_documento;otro_n_documento;otro_telefono_1;otro_telefono_2;otro_sexo;otro_email;otro_email_no_disp;otro_dir_tipo_via;otro_dir_calle;otro_dir_numero;otro_dir_piso;otro_dir_puerta;otro_dir_CP;otro_dir_poblacion;otro_dir_provincia;otro_cod_IBAN;otro_cod_banco;otro_cod_sucursal;otro_cod_DC;otro_cod_cuenta;otro_IBAN_no_disp;otro_comp_privada;otro_poliza;otro_ref_contraria;otro_comp_priv_email;enc_colaborador;n_encargo;enc_subtipo;enc_fecha;enc_detalles;enc_documentos
Innova;eperez;MEC;510012184;TRUE;TRUE;cocinas;TRUE;TRUE;R3fAsis73x7;AGUA;GC02;2001 BAJANTE GENERAL;TC002001;TRUE;TRUE;;;;;;;;;;;;;;;;prueba@esto.com;;;;;;;;;;;NIF;;;961234567;;;;prueba@esto.com;;TRUE;;;;;;;;;;;;;;;;;;;;FONTANERO;FONTANERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innova;eperez;MAC;920016438;;;;;;;ALQUILER;GC25;25000 IMPAGO ALQUILERES CERRADURAS;TC025000;;;;;25001 IMPAGO ALQUILERES;TC025001;;;;;;;;;;;;prueba@esto.com;;;;;;;;;;;NIF;;;961234567;;;;prueba@esto.com;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innova;eperez;MTS;500563164;;;;;;;AGUA;GC02;2006 GRIFOS PRIVADOS;TC002004;;;;;;;;;;;;;;;;;;prueba@esto.com;;;;;;;;;;;NIF;;;961234567;;;;prueba@esto.com;;TRUE;;;;;;;;;;;;;;;;;;;;FONTANERO;FONTANERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innova;eperez;MTS;400000100;;;;;;;AGUA;GC02;2006 GRIFOS PRIVADOS;TC002004;;;;;;;;;;;;;;;;;;prueba@esto.com;;;;;;;;;;;NIF;;;961234567;;;;prueba@esto.com;;TRUE;;;;;;;;;;;;;;;;;;;;FONTANERO;FONTANERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innova;eperez;MTS;200208236;;;;;;;AGUA;GC02;2004 DESAGÜES PRIVADOS;TC002004;;;;;;;;;;;;;;;;;;prueba@esto.com;;;;;;;;;;;NIF;;;961234567;;;;prueba@esto.com;;TRUE;;;;;;;;;;;;;;;;;;;;FONTANERO;FONTANERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innova;eperez;MTS;150401621;;;;;;;DAÑOS ELECTRICOS;GC14;1013 FALLO SUMINISTRO ELECTRICO;TC001013;;;;;;;;;;;;;;;;;;prueba@esto.com;;;;;;;;;;;NIF;;;961234567;;;;prueba@esto.com;;TRUE;;;;;;;;;;;;;;;;;;;;FONTANERO;FONTANERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innova;eperez;MHG;600600718;;;;;;;INCENDIO;GC50;1003 INCENDIO CAMPANA EXTRACTORA;TC001003;;;;;;;;;;;;;;;;;;prueba@esto.com;;;;;;;;;;;NIF;;;961234567;;;;prueba@esto.com;;TRUE;;;;;;;;;;;;;;;;;;;;FONTANERO;FONTANERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innova;eperez;MHG;600601516;;;;;;;AGUA;GC51;2001 BAJANTE GENERAL;TC002001;;;;;;;;;;;;;;;;;;prueba@esto.com;;;;;;;;;;;NIF;;;961234567;;;;prueba@esto.com;;TRUE;;;;;;;;;;;;;;;;;;;;FONTANERO;FONTANERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innova;eperez;MAC;920015584;;;;;;;ASISTENCIA COMPLEMENTARIA;GC30;27000 ASISTENCIA ALQUILER;TC027000;;;;;;;;;;;;;;;;;;prueba@esto.com;;;;;;;;;;;NIF;;;961234567;;;;prueba@esto.com;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innova;eperez;MAC;920018512;;;;;;;DEFENSA Y RECLAMACION;GC21;21000 DEFENSA Y RECLAMACIÓN;TC021000;;;;;;;;;;;;;;;;;;prueba@esto.com;;;;;;;;;;;NIF;;;961234567;;;;prueba@esto.com;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innova;eperez;MAC;920015561;;;;;;;INCENDIO;GC01;29000 PERDIDA DE ALQUILERES EN CASO DE INCENDIO;TC029000;;;;;;;;;;;;;;;;;;prueba@esto.com;;;;;;;;;;;NIF;;;961234567;;;;prueba@esto.com;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innova;eperez;MEC;510024678;;;;;;;AGUA;GC02;2001 BAJANTE GENERAL;TC002001;TRUE;TRUE;;;;;;;;;;;;;;;;prueba@esto.com;;;;;;;;;;;NIF;;;961234567;;;;prueba@esto.com;;TRUE;;;;;;;;;;;;;;;;;;;;FONTANERO;FONTANERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innova;eperez;MAC;920016438;;;;;;;ROBO;GC03;3010 REPOSICION DE CERRADURAS;TC003010;TRUE;TRUE;;;;;;;;;;;;;;;;prueba@esto.com;;;;;;;;;;;NIF;;;961234567;;;;prueba@esto.com;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innova;eperez;MTS;500526754;TRUE;;;;;;AGUA;GC02;2006 GRIFOS PRIVADOS;TC002004;;;;;;;;;;;;;;;;;;prueba@esto.com;;;;;;;;;;;NIF;;;961234567;;;;prueba@esto.com;;TRUE;;;;;;;;;;;;;;;;;;;;FONTANERO;FONTANERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innova;eperez;MTS;200231473;;;;;;;ASISTENCIA COMPLEMENTARIA;GC13;30001 BRICO COMUNIDAD;TC030001;;;;;;;;;;;;;;;;;;prueba@esto.com;;;;;;;;;;;NIF;;;961234567;;;;prueba@esto.com;;TRUE;;;;;;;;;;;;;;;;;;;;FONTANERO;FONTANERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innova;eperez;MTS;150402057;;;;;;;ACCIDENTES;GC15;80001 ASISTENCIA SANITARIA;TC080001;;;;;;;;;;;;;;;;;;prueba@esto.com;;;;;;;;;;;NIF;;;961234567;;;;prueba@esto.com;;TRUE;;;;;;;;;;;;;;;;;;;;FONTANERO;FONTANERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
