test_id;filename;direccion_defecto;num_edificios;mediador;tomador;nombre_tomador;primer_apellido_tomador;segundo_apellido_tomador;modalidad;num_plantas_alto;num_cotizacion;num_viviendas;num_locales;cambio_num_edificios;cambio_num_viviendas;cambio_num_locales;acceso;cambio_acceso;usuario;cambio_usuario;medio_pago;cambio_medio_pago;cob_opc_tipo_maquinaria;cob_opc_valor_maquinaria;cob_inst_energia_solar;cob_inst_energia_solar_valor;num_plantas_sotano;poliza;m2_vivienda;m2_ajardinadas;m2_oficinas;m2_garajes;franquicia_voluntaria;construccion_edificio;clausula;fecha_nacimiento;iban;nivel_rehab_aguas_comun;ref_catastral
Mec01;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;;;;;Innova;Innova;calbets;solmo;el mediador;el mediador;;;;;;;;;;;;;;08-01-79;ES0321001234561234567890;;9240111YJ3994A0001LH
Mec02;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;;;;;Innova;Innova;calbets;solmo;el cobro bancario;el cobro bancario;;;;;;;;;;;;;;09-01-79;ES0321001234561234567890;;3047701YJ2734E
Mec03;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;;;;;Innova;Innova;calbets;solmo;el mediador;el mediador;;;;;;;;;;;;;;10-01-79;ES0321001234561234567890;;7962102YJ2802S0002PO       
Mec04;;direccion por defecto;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;;;;;Innova;Innova;calbets;solmo;el cobro bancario;el cobro bancario;;;;;;;;;;;;;;11-01-79;ES0321001234561234567890;;
Mec05;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;21;;;;;;;Innova;;mcena;;;;;;;;;;;;;;;;;12-01-79;ES0321001234561234567890;;3145501YJ2734E
Mec06;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;;;;;Innova;Innova;mcena;solmo;el cobro bancario;el cobro bancario;;;;;;;;;;;;;;13-01-79;ES0321001234561234567890;;3245101YJ2734E
Mec07;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;;;;;Innova;;mcena;;el cobro bancario;el cobro bancario;;;;;;;;;;;;;;14-01-79;ES0321001234561234567890;;7962901YJ2802S0002PO       
Mec08;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;;;;;Innova;;calbets;;el cobro bancario;el mediador;;;;;;;;;;;;;;15-01-79;ES0321001234561234567890;;7962305YJ2802S0004QA       
Mec09a;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;;;;;Innova;Innova;solmo;solmo;el mediador;el mediador;;;;;;;;;;;;;;16-01-79;ES0321001234561234567890;;7861407YJ2802S0009IH       
Mec10a;;;;640;nuevo Tomador y asegurado principal;NombreTomador;PrimerApellido;SegundoApellido;completa;;;;;;;;Innova;Innova;mcena;mcena;el cobro bancario;el cobro bancario;;;;;;;;;;;;;;17-01-79;ES0321001234561234567890;;7861602YJ2802S0002PO       
