test_id;nivel_estructura;tipo_prospect;tipo_mediador;tipo_documento;idioma;dgs;actividad_principal;nombre_comercial_prospect;tipo_nombre_comercial_mediador;nombre_comercial_mediador;contacto_responsable;cargo_responsable;nombre_fiscal_mediador;primer_apellido_mediador;segundo_apellido_mediador;tlf_principal;email_principal;ejecutivo_comercial
Med01;Intermediario;Corredor-BS;;;;111;Otros;Med01;;;Med01;;;;;911111111;;0 – SIN INSPECTOR
Med02;Intermediario;AAFF;;;;;Mediador de Seguros;Med02;;;Med02;;;;;911111112;;0 – SIN INSPECTOR
Med03;Intermediario;Otros;;;;;Gestor Patrimonios;Med03;;;Med03;;;;;911111113;;0 – SIN INSPECTOR
Med04;Oficina;Otros;;;;;Mediador de Seguros;Med04;;;Med04;;;;;911111114;;0 – SIN INSPECTOR
Med05;Colaborador;AAFF;;;;;API;Med05;;;Med05;;;;;911111115;;0 – SIN INSPECTOR
Med06;Oficina;AAFF;;;;;Gestor Patrimonios;Med06;;;Med06;;;;;911111116;;0 – SIN INSPECTOR
Med07;Oficina;Corredor-BS;;;;211;Abogados;Med07;;;Med07;;;;;911111117;;0 – SIN INSPECTOR
Med08;Colaborador;Corredor-BS;;;;311;Mediador de Seguros;Med08;;;Med08;;;;;911111118;;0 – SIN INSPECTOR
Med09;Colaborador;Otros;;;;;Abogados;Med09;;;Med09;;;;;911111119;;0 – SIN INSPECTOR
Med10;Intermediario;Corredor-BS;;;;411;API;Med10;;;Med10;;;;;911111120;;0 – SIN INSPECTOR
Med11;Oficina;Otros;;;;;API;Med11;;;Med11;;;;;911111121;;0 – SIN INSPECTOR
Med12;Intermediario;AAFF;;;;;Abogados;Med12;;;Med12;;;;;911111122;;0 – SIN INSPECTOR
Med13;Colaborador;Corredor-BS;;;;511;Otros;Med13;;;Med13;;;;;911111123;;0 – SIN INSPECTOR
Med14;Oficina;Corredor-BS;;;;611;Administrador de Fincas;Med14;;;Med14;;;;;911111124;;0 – SIN INSPECTOR
Med15;Oficina;AAFF;;;;;Otros;Med15;;;Med15;;;;;911111125;;0 – SIN INSPECTOR
Med16;Colaborador;AAFF;;;;;Administrador de Fincas;Med16;;;Med16;;;;;911111126;;0 – SIN INSPECTOR
Med17;Intermediario;Otros;;;;;Otros;Med17;;;Med17;;;;;911111127;;0 – SIN INSPECTOR
Med18;Colaborador;Corredor-BS;;;;711;Gestor Patrimonios;Med18;;;Med18;;;;;911111128;;0 – SIN INSPECTOR
Med19;Intermediario;Otros;;;;;Administrador de Fincas;Med19;;;Med19;;;;;911111129;;0 – SIN INSPECTOR
Med20;Colaborador;Corredor-BS;;;;811;Mediador de Seguros;Med20;;;Med20;;;;;911111130;;0 – SIN INSPECTOR
Med21;Intermediario;Corredor-BS;;;;911;Administrador de Fincas;Med21;;;Med21;;;;;911111131;;0 – SIN INSPECTOR
Med22;Intermediario;;Acuerdo colaboración;NIF;Castellano;;Abogados;;Igual que el fiscal;;Contacto Responsable Med22;Cargo Responsable Med22;Maria Isabel;Muñiz;Muñoz;911111132;es_el_email_principal_muy_largo_de_med22@gmail.com;0 - SIN INSPECTOR
Med23;Intermediario;;;;;;;;;;;;;;;;;
Med24;;;;;;;;;;;;;;;;;;
